
2017.09.23 16.31.59 "[i2] Received(p2): 'Apple' $3.66"
2017.09.23 16.31.59 "[i1] Refuse(p1): 'Product'"
2017.09.23 16.31.59 "[i2] Refuse(r): 'Pineapple'"
2017.09.23 16.31.59 "[i1] Received(p1): 'Pineapple' $3.02"
2017.09.23 16.31.59 "[i2] acceptProposal(p1): Banana $1.15"
2017.09.23 16.31.59 "[i2] Refuse(p2): 'Product'"
2017.09.23 16.31.59 "[i2] Received(p1): 'Apple' $3.20"
2017.09.23 16.31.59 "[i2] Refuse(p1): 'Product'"
2017.09.23 16.31.59 "[i2] Received(p2): 'Pineapple' $2.80"
2017.09.23 16.31.59 "[i2] Received(p1): 'Pineapple' $2.65"
2017.09.23 16.31.59 "[i1] acceptProposal(p1): Banana $1.01"
2017.09.23 16.31.59 "[i2] acceptProposal(p1): Banana $1.15"
2017.09.23 16.31.59 "[i2] acceptProposal(p1): Banana $1.15"
2017.09.23 16.31.59 "[i2] acceptProposal(p1): Apple $3.20"
2017.09.23 16.31.59 "[i1] acceptProposal(p1): Banana $1.01"
2017.09.23 16.31.59 "[i2] acceptProposal(p1): Banana $1.15"
2017.09.23 16.31.59 "[i2] acceptProposal(p1): Apple $3.20"
2017.09.23 16.31.59 "[i2] acceptProposal(p1): Banana $1.15"
2017.09.23 16.31.59 "[i1] acceptProposal(p1): Apple $3.39"
2017.09.23 16.31.59 "[i2] acceptProposal(p1): Pineapple $2.65"
2017.09.23 16.31.59 "[i2] acceptProposal(p1): Apple $3.20"
2017.09.23 16.31.59 "[i1] acceptProposal(p1): Apple $3.39"
2017.09.23 16.31.59 "[i2] acceptProposal(p1): Banana $1.15"
2017.09.23 16.31.59 "[i1] acceptProposal(p1): Pineapple $3.02"
2017.09.23 16.31.59 "[i2] acceptProposal(p1): Pineapple $2.65"
2017.09.23 16.31.59 "[i2] acceptProposal(p1): Pineapple $2.65"
2017.09.23 16.31.59 "[i1] rejectProposal(p2): Banana $2.19"
